Month_Name,Average_Load,Average_CPI,Idle_Rate,Peak_Rate
January,0.0010621540490853836,0.39429447330745554,0.46364637043045015,0.0033601761195759224
February,0.0012639716972958526,0.39925959038892167,0.4201187052560729,0.003793673132227865
March,0.0014922019913740287,0.39105831058308865,0.3686447431334006,0.0041438665462466134
April,0.0028433369345604734,0.5523645428238408,0.2974713365792367,0.013193026543112926
May,0.006339644211720511,1.118975115191037,0.2132429614181439,0.07720716023635732
June,0.00994617120769595,2.0596515675055236,0.17221720941678287,0.15999507833647772
July,0.015313822512902411,2.881402348372471,0.12697412322977683,0.28253132646251944
August,0.016879671133590037,1.590560784316543,0.1146640826873385,0.3097545219638243
September,0.00903428474662464,0.7915655917605369,0.16119753686598606,0.1257089612704586
October,0.003874752660125978,0.45638112460664554,0.2267709691438505,0.02403302911777488
November,0.0017737263884900752,0.36143610405571613,0.3342392623149721,0.006066488716330988
December,0.0011923167301168267,0.35172391787142143,0.4121181001283697,0.003748395378690629
