Timestamp,Sales_Count,Redemption_Count,Total_Activity_Load,Operational_Load_Index,Capacity_Utilization_Ratio,Congestion_Pressure_Index
2015-05-01,1,4,5,1.730822486845749e-05,1.0,0.40001038493492114
2015-05-02,0,0,0,,,
2015-05-03,0,0,0,,,
2015-05-04,12,75,87,0.000247780903380023,3.1801169590643275,1.2721954521677592
2015-05-05,537,549,1086,0.0015652655533213732,7.024517222314567,2.81074604825782
2015-05-06,989,1358,2347,0.0026848283728156436,10.928073041622367,4.372840113672637
2015-05-07,1343,2170,3513,0.003984353364718914,18.940052307578263,7.5784115350501375
2015-05-08,2108,3390,5498,0.006170807777692025,21.765838548930958,8.710037904239
2015-05-09,5604,6145,11749,0.012444879960803528,9.862264647854326,3.9523727871182124
2015-05-10,3013,3554,6567,0.007907125887274264,3.6529732560007053,1.465933577932647
2015-05-11,395,908,1303,0.001541668315069035,9.993441508603167,3.9983016044303086
2015-05-12,512,3631,4143,0.005052765359813269,28.725645453140057,11.493289840471911
2015-05-13,643,1181,1824,0.002035447244530601,9.228857166497829,3.69276413494585
2015-05-14,1774,2563,4337,0.004853112756558966,21.22936365463428,8.49465732950765
2015-05-15,635,1162,1797,0.0019374045255983062,8.91984598717262,3.569100837584407
2015-05-16,6958,7640,14598,0.015722358764885074,11.871735685597118,4.758127689497779
2015-05-17,7089,8249,15338,0.0173388689387164,51.66007419678612,20.67443300007768
2015-05-18,7250,9244,16494,0.017773383411797287,45.87627676983806,18.361174737982303
2015-05-19,1862,4570,6432,0.007113122091101563,56.355138433802466,22.546323246775646
2015-05-20,2776,1518,4294,0.004649593613869438,4.938758935805855,1.9782933304906636
2015-05-21,1760,2226,3986,0.004454739843193157,6.890864930743408,2.7590188162032794
2015-05-22,1881,2257,4138,0.004338239993183222,5.02742399472183,2.013572541884642
2015-05-23,6401,7058,13459,0.014490229507061756,19.837258421120463,7.943597506152423
2015-05-24,8208,9279,17487,0.01945779473115302,4.524393148595688,1.8214319362769669
2015-05-25,1221,1540,2761,0.0030644070258908345,2.1470981022291826,0.8606778851072076
2015-05-26,2345,2997,5342,0.005895963051964875,7.32516458233372,2.933603410764667
2015-05-27,1898,2390,4288,0.004878611649589218,5.067196859055076,2.029805910611784
2015-05-28,2774,3244,6018,0.006760989871567297,9.217388205618107,3.6910118761701836
2015-05-29,4221,4663,8884,0.009393306776303177,8.52724959088003,3.4165358204177942
2015-05-30,3054,3111,6165,0.0070444475214621995,6.160282094497832,2.4683395063120104
2015-05-31,406,609,1015,0.0012821400421788125,5.773339314984033,2.3101050100189204
2015-06-01,1116,1809,2925,0.003305870949875381,5.183254068501687,2.0752851499706
2015-06-02,3025,3234,6259,0.006701528316255885,4.186471764890353,1.6786096229458949
2015-06-03,2719,3977,6696,0.0069547594471438285,5.655487684975399,2.2663679296584465
2015-06-04,3432,3683,7115,0.007174768273412937,3.1742983399613416,1.2740241969485844
2015-06-05,3306,3389,6695,0.006648365100197063,18.87424636436792,7.553687564807286
2015-06-06,6200,9082,15282,0.01596133027869389,22.11951912784327,8.857384449304524
2015-06-07,8046,8547,16593,0.018165394100038243,24.276105888629857,9.721341591911965
2015-06-08,775,1194,1969,0.002094569942811427,3.200335695099447,1.2813910200054657
2015-06-09,1525,2001,3526,0.0036294823057492678,3.8875157164103373,1.5571839759475843
2015-06-10,1858,3192,5050,0.005393675574633066,8.818904269721331,3.5307979132333127
2015-06-11,3134,7881,11015,0.010522439151973907,40.34080733335185,16.142636396831925
2015-06-12,3282,4225,7507,0.006954164078229433,22.04109450483111,8.820610300379382
2015-06-13,2017,12871,14888,0.01465561577718875,138.05731636271247,55.23171991455131
2015-06-14,9475,2992,12467,0.013008442217802505,4.405249813337704,1.7699049906657631
2015-06-15,2618,3028,5646,0.006445582941013569,10.4370395269363,4.178683160539128
2015-06-16,4761,4889,9650,0.009475016813704157,12.696419059924237,5.084252634057917
2015-06-17,4510,5270,9780,0.009467355225231198,9.29954272941823,3.725497504902431
2015-06-18,3342,3867,7209,0.007609228212939097,8.812647614693226,3.529624582805054
