Hour,Average_Load,Average_CPI,Idle_Rate,Peak_Rate,Avg_Sales,Avg_Redemption
0,0.000683092540039626,4.29950494885651,0.571289252974449,0.0003900916715428126,0.06943631753462064,10.797152330797738
1,0.0004252133069916772,2.6166841478030456,0.7177831584611246,0.0008071025020177562,0.6004842615012107,6.5412967446865755
2,0.0003460507677601579,1.8261325598508553,0.8558521560574949,0.002053388090349076,1.4271047227926077,4.571252566735113
3,0.00038004632148463827,1.7309158169858954,0.9093247588424437,0.0038585209003215433,2.1588424437299034,4.330546623794212
4,0.0002868131338166295,1.2351810645409724,0.9416517055655296,0.0017953321364452424,2.0547576301615798,3.087971274685817
5,0.00025764408697134534,1.302702653419718,0.9166666666666666,0.0,1.3083941605839415,3.4130170316301705
6,0.001253029277403247,0.5898074959080867,0.3983154296875,0.0018310546875,10.3353271484375,8.763427734375
7,0.0012335548960616559,0.6959044969145052,0.3779962192816635,0.0038563327032136107,8.22359168241966,10.593875236294895
8,0.0028506227659349063,0.7093731961122142,0.273029735911832,0.016219588271990017,17.750606501698204,24.423788729465585
9,0.0068014653804408295,0.7513306526105978,0.23142500693096757,0.12565844191849182,46.781535902411974,52.45883005267535
10,0.010662890435867201,0.9345899145941784,0.18671687778158166,0.2016432728517631,80.54241698048614,74.47237247517974
11,0.013172024968118666,1.0151331216258188,0.1312168601919592,0.22283374723135782,98.49546949459695,92.76125914490905
12,0.013414355855245929,0.9934583630017458,0.12344777209642074,0.2232551962281692,100.23793080549838,94.51902516767382
13,0.013074552082090095,1.0263455820673655,0.11220094108290808,0.22022665517926968,97.17880575253496,92.67002452117437
14,0.012931021832444342,1.1045263281862694,0.11773097826086956,0.2205163043478261,96.29959239130434,91.47608695652174
15,0.011213279033192471,0.932134295258531,0.10255392351462221,0.18922852983988356,83.02487759693,79.93972475850205
16,0.009418405941750363,0.8445354495973173,0.1011169122992532,0.14764390985394224,69.6001586147644,67.43929680787787
17,0.00740353113212614,0.639766565387692,0.1517893043827905,0.09998659697091543,54.285350489210565,53.65125318321941
18,0.005489455544722096,0.6004696202653435,0.19818768449234572,0.05539918994988673,40.24418205533054,40.04551383263541
19,0.004084443822070967,0.5968180294753113,0.2547931008956992,0.021615219483307423,28.94174254200903,31.053964023984012
20,0.002764192120434132,0.7011378383813417,0.2998548842893149,0.0054227449782326435,18.0162682349347,22.909722752615902
21,0.0020347243978163392,1.108753462492479,0.3462033462033462,0.005148005148005148,11.186132561132561,19.20342664092664
22,0.0016161827328358108,1.7984818442604875,0.4250937890787828,0.005085452271779908,7.525719049604001,16.818424343476448
23,0.0011348637962426695,2.1653543050397803,0.4901793339026473,0.002467027232185217,4.684315399943069,12.707657272986053
